# time luminosity u_luminosity radius u_radius
-6.532331768088624813e+00 2.809194058934208846e+37 1.738944988586886337e+37 1.009941369001863291e+06 4.611626740634003454e+02
-6.529818545328453183e+00 2.825273465228642163e+37 1.744138891960397957e+37 1.009945212278502877e+06 4.609904581334147338e+02
-6.527267826968454756e+00 2.841596082795976474e+37 1.749368115120351623e+37 1.009949106530646095e+06 4.608176487572794713e+02
-6.524669635866302997e+00 2.858296422772206346e+37 1.754635608562095483e+37 1.009953063436298748e+06 4.606528725843597840e+02
-6.522023764380719513e+00 2.875388057199407430e+37 1.759921575796789811e+37 1.009957086524021579e+06 4.604912533924893978e+02
-6.519310459960252047e+00 2.892830290885235514e+37 1.765477213314868549e+37 1.009961209276358364e+06 4.603333811154257660e+02
-6.515949310851283371e+00 2.914522051770295606e+37 1.772231748619514402e+37 1.009966309450055240e+06 4.601346546054985538e+02
-6.512492504392866977e+00 2.936886297827807657e+37 1.779136775858163065e+37 1.009971545040596393e+06 4.599348086519541994e+02
-6.508922074775910005e+00 2.960033735833308521e+37 1.786197705325874553e+37 1.009976936484618345e+06 4.597349480893792588e+02
-6.505211521682213061e+00 2.984174981987936876e+37 1.793395800816338304e+37 1.009982515111963148e+06 4.595328061585291834e+02
-6.501322125041042455e+00 3.009627325486627087e+37 1.800896124615222204e+37 1.009988342018877040e+06 4.593314664633717825e+02
-6.496246442547999322e+00 3.042915007850869916e+37 1.810633867060808667e+37 1.009995946375203086e+06 4.590643881122047674e+02
-6.490836701894295402e+00 3.078451272594038066e+37 1.820958009439491332e+37 1.010004037596509908e+06 4.587962607340588193e+02
-6.485056544697727077e+00 3.116622965577346454e+37 1.831701788765392870e+37 1.010012648835045518e+06 4.585376468166564337e+02
-6.477251581323798746e+00 3.168369331288893778e+37 1.845974324143606309e+37 1.010024249148290488e+06 4.581702764880052996e+02
-6.468573169971932657e+00 3.226245875350358692e+37 1.861532005124468411e+37 1.010037061086519971e+06 4.577777355467191001e+02
-6.458673519868170843e+00 3.292533733805396303e+37 1.878853846592814329e+37 1.010051622874696506e+06 4.573164560878064435e+02
-6.446073756538680755e+00 3.377479960789902663e+37 1.900380825121322361e+37 1.010070044502367382e+06 4.567584052549969442e+02
-6.433455225080251694e+00 3.462973699716048724e+37 1.921346551307757242e+37 1.010088399005421204e+06 4.561798056879065939e+02
-6.420355502646998502e+00 3.552181232739094278e+37 1.942487119035242990e+37 1.010107306029057945e+06 4.555398963577621885e+02
-6.406382421191665344e+00 3.647707768730202507e+37 1.964489912595803607e+37 1.010127339243601309e+06 4.548583998559020074e+02
-6.391069960256572813e+00 3.752688492863270458e+37 1.987957337592954073e+37 1.010149111494758050e+06 4.540940885732994161e+02
-6.375894447788596153e+00 3.857040244523161102e+37 2.010618232713901862e+37 1.010170501795135089e+06 4.533252398275581641e+02
-6.361476674486766569e+00 3.956382465018189425e+37 2.031381382061724720e+37 1.010191809823472751e+06 4.497547904669017953e+02
-6.347117935467395000e+00 4.055123912580460479e+37 2.051981507607146487e+37 1.010218750626270310e+06 4.323134160659037661e+02
-6.332285466211033054e+00 4.157217921356805113e+37 2.072691631043223889e+37 1.010246418383147800e+06 4.150014608094634241e+02
-6.316459984620450996e+00 4.266067005257279224e+37 2.093950547248884601e+37 1.010274674397743074e+06 3.996043344731708089e+02
-6.299033919334760867e+00 4.388907776282061510e+37 2.110944946791110103e+37 1.010303879085229710e+06 3.868856734452637056e+02
-6.282865497123566456e+00 4.509997363374620824e+37 2.111553080682379331e+37 1.010329887334516388e+06 3.771746463468135175e+02
-6.267181104500195943e+00 4.633034133203453123e+37 2.100799309423300890e+37 1.010354548080465640e+06 3.688141262058811662e+02
-6.251347522033029236e+00 4.758966770765025669e+37 2.085914668467914498e+37 1.010378801243771217e+06 3.614448427055190791e+02
-6.234809105808380991e+00 4.890237801360653412e+37 2.070080243174647246e+37 1.010403475291745970e+06 3.547445290827033659e+02
-6.216998068368411623e+00 5.030627362252969076e+37 2.053991871092892648e+37 1.010429389733802760e+06 3.484907676236139764e+02
-6.197227398413815536e+00 5.184931047093207198e+37 2.036894144585317681e+37 1.010457411720093456e+06 3.423478707575387148e+02
-6.178897727630101144e+00 5.327087521010921712e+37 2.021571477720639464e+37 1.010482876124428003e+06 3.372640432571284919e+02
-6.161167036261758767e+00 5.463481430554084480e+37 2.007049568503788807e+37 1.010507032049812260e+06 3.327684090096934710e+02
-6.143355322579736821e+00 5.599493804066220847e+37 1.992744816501049418e+37 1.010530885711968527e+06 3.286185078751454967e+02
-6.124893521104240790e+00 5.739199072479944667e+37 1.978397161022483499e+37 1.010555167357927188e+06 3.246662850341239164e+02
-6.105203900267952122e+00 5.886838091224098603e+37 1.963490741302564278e+37 1.010580627968243673e+06 3.207699214359755047e+02
-6.083614101837156340e+00 6.046850463608307171e+37 1.947912749124904025e+37 1.010608004006833420e+06 3.168776233085864078e+02
-6.063594888692023233e+00 6.193123952503275742e+37 1.933852791043959686e+37 1.010632870355019346e+06 3.135208982660912511e+02
-6.044234642075025477e+00 6.333141812895931059e+37 1.921096244368399018e+37 1.010656542985043721e+06 3.105637387825479436e+02
-6.024807275360217318e+00 6.471986189801316096e+37 1.908867659875934799e+37 1.010679911102817510e+06 3.078050556965608280e+02
-6.004696455842349678e+00 6.613537037465081850e+37 1.896484352578405886e+37 1.010703635320755420e+06 3.051231846406981276e+02
-5.983254834573017433e+00 6.762568648708649228e+37 1.884002397365649286e+37 1.010728523343543755e+06 3.024978197951033962e+02
-5.959744796869927086e+00 6.923230766201597668e+37 1.871063555669534426e+37 1.010755260700993356e+06 2.998500989947871176e+02
-5.937323620746610686e+00 7.073951441455642634e+37 1.859436346063094883e+37 1.010780269304477260e+06 2.975446340603781437e+02
-5.915827808450558223e+00 7.216210269428576645e+37 1.848867352901781759e+37 1.010803815103571047e+06 2.955109418773861307e+02
-5.894422343495534733e+00 7.355299824842575292e+37 1.838849467100544268e+37 1.010826794811011991e+06 2.936466768333293658e+02
-5.872451161631033756e+00 7.495799516849759141e+37 1.829342393403373256e+37 1.010849973769353935e+06 2.919142007282442250e+02
-5.849273509782506153e+00 7.641528560829407142e+37 1.820066169808465734e+37 1.010873989103131811e+06 2.902693116252647201e+02
-5.824162740114843473e+00 7.796155420462623201e+37 1.810601623390853288e+37 1.010899453684826149e+06 2.886438620712469856e+02
-5.798419950893730856e+00 7.951312349571892832e+37 1.801827799176112544e+37 1.010924995399528183e+06 2.871938702590237540e+02
-5.774222710126196034e+00 8.094107723427612151e+37 1.794282981069463913e+37 1.010948509048670530e+06 2.859835735481233883e+02
-5.750473040126962587e+00 8.231535908456511111e+37 1.787756795903138394e+37 1.010971148657116457e+06 2.849725286647134794e+02
-5.726428102207137272e+00 8.367635928919388476e+37 1.781752974821816009e+37 1.010993594686265220e+06 2.840766913930423243e+02
-5.701403347644372843e+00 8.506185880543542595e+37 1.776391816281836271e+37 1.011016472683847765e+06 2.833188941231455260e+02
-5.674666955223074183e+00 8.650670966600475625e+37 1.771314342966487420e+37 1.011040380194900557e+06 2.826407721554846262e+02
-5.646943678992101923e+00 8.796974041256665449e+37 1.766882841041242867e+37 1.011064639961149544e+06 2.821040714590588436e+02
-5.620945741000468843e+00 8.930504156096267841e+37 1.763562155658749772e+37 1.011086850962554221e+06 2.817461177907366618e+02
-5.595483168974169530e+00 9.058457451085649917e+37 1.760946463296801272e+37 1.011108189063048339e+06 2.815244180174074131e+02
-5.569743011321406811e+00 9.184484450761640669e+37 1.758850785952189943e+37 1.011129282034595148e+06 2.813988883512407710e+02
-5.542976105993147939e+00 9.312375730879771427e+37 1.757291338896032832e+37 1.011150761061855243e+06 2.813948160172217854e+02
-5.514385254093213007e+00 9.445178134089216718e+37 1.756326945790115839e+37 1.011173166785921785e+06 2.815193262080894669e+02
-5.482995696133002639e+00 9.587058641797646788e+37 1.755728132946862975e+37 1.011197216620003106e+06 2.817723020433980423e+02
-5.452449635777156800e+00 9.721023173480510801e+37 1.755726537175742877e+37 1.011220050087606302e+06 2.821322385258903864e+02
-5.423256594731356017e+00 9.845430965386688751e+37 1.756092167379716301e+37 1.011241375564924092e+06 2.825601149560280305e+02
